PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
4,22,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",1,2,3,2,4,1,2,1,1,4,50,61,31,40,61,40,51,63,41,length of a match in a game
4,5,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",2,4,3,3,1,3,3,2,3,3,50,61,31,40,61,40,51,63,41,length of a match in a game
4,6,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",2,5,3,5,5,2,2,3,3,5,50,61,31,40,61,40,51,63,41,length of a match in a game
4,21,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",1,2,2,2,4,2,1,1,3,4,50,61,31,40,61,40,51,63,41,length of a match in a game
4,14,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",2,4,3,5,4,3,3,2,3,4,50,61,31,40,61,40,51,63,41,length of a match in a game
4,27,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",2,3,3,2,1,3,3,1,2,3,50,61,31,40,61,40,51,63,41,length of a match in a game
4,11,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",2,3,3,3,4,1,1,1,3,4,50,61,31,40,61,40,51,63,41,length of a match in a game
4,15,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",2,3,2,5,4,3,3,1,2,2,50,61,31,40,61,40,51,63,41,length of a match in a game
4,9,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",1,2,2,3,4,1,1,1,3,4,50,61,31,40,61,40,51,63,41,length of a match in a game
4,29,2000,Male,5,7,5,5,20,4,"GTA V, Need for Speed Payback, Battlefield 5",1,2,2,5,2,1,1,1,1,2,50,61,31,40,61,40,51,63,41,length of a match in a game
