PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
5,21,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,3,2,2,4,2,2,1,1,2,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,4,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,3,3,2,2,2,2,2,2,2,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,5,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,3,1,1,1,3,1,1,2,1,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,20,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,2,2,1,1,1,1,2,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,13,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,3,2,2,4,2,2,1,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,26,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,4,1,2,1,3,3,1,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,10,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,4,3,4,4,2,2,2,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,14,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,4,3,2,4,2,3,2,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,8,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,1,5,2,2,3,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,28,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,3,2,2,2,2,1,2,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,6,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,5,4,4,5,2,2,3,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,17,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,2,2,1,1,1,1,1,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,24,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,4,2,2,1,3,2,1,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,12,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,3,3,3,4,2,2,2,2,2,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,16,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,2,4,2,2,1,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,22,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,2,4,2,2,2,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,29,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,2,2,2,2,1,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,3,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,1,1,1,2,1,2,1,1,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,25,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,4,2,2,1,3,3,2,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,15,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,3,2,2,4,2,2,2,2,2,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,19,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,3,2,2,2,2,2,2,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,18,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,2,2,2,2,2,1,1,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,30,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,4,4,4,5,2,1,3,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,27,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,3,2,2,1,3,2,2,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,9,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,3,3,3,4,2,2,2,2,2,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,7,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,4,2,3,4,2,2,3,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,1,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,1,1,1,4,2,1,2,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,11,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",1,2,3,3,4,2,2,2,2,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,2,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,3,2,3,5,2,1,2,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,23,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,3,2,2,1,2,1,1,2,3,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,0,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa",2,5,3,4,5,2,2,3,3,5,50,40,50,60,60,60,50,50,40,Direction Accuracy
5,99,2000,Male,5,3,3,3,0,4,"Mobile Legend , Fifa","because in this game is very complex game, where we must make many activity in a same time ","if we get a little bit delay , maybe we can shooted",the player use maschine gun ,the enemy can only run away in a little range,"we can jump , walk and shoot with our mouse",because the character can live again,our scours will be worse,we must shooting infinite until the enemy die,because we usig a mouse cursor,we must shooting and aiming in the same time,50,40,50,60,60,60,50,50,40,Direction Accuracy
