PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
2,1,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,1,2,3,2,1,2,1,3,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,2,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,2,2,1,4,3,3,3,2,5,54,50,50,65,30,40,50,56,56,the pace of the player
2,3,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,1,1,1,2,3,2,2,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,4,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,3,3,2,2,2,1,2,2,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,5,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,3,2,2,3,3,2,2,2,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,6,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,3,3,5,3,3,2,3,5,54,50,50,65,30,40,50,56,56,the pace of the player
2,7,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,3,1,2,2,2,2,1,2,3,54,50,50,65,30,40,50,56,56,the pace of the player
2,8,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,1,3,2,2,2,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,9,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,3,3,1,1,1,1,1,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,10,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,5,4,3,1,1,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,11,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,3,2,1,-1,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,12,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,3,2,1,1,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,13,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,3,2,2,2,3,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,14,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,2,3,2,2,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,15,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,-1,1,2,2,2,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,16,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,3,2,2,2,2,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,17,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,2,1,2,2,1,2,1,2,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,18,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,1,2,2,3,2,1,1,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,19,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,3,2,2,2,3,2,2,1,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,20,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,2,2,2,3,2,2,1,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,21,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,3,3,2,1,1,1,1,2,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,22,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,4,3,1,1,1,1,2,2,54,50,50,65,30,40,50,56,56,the pace of the player
2,23,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,1,2,1,3,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,24,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,2,2,1,3,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,25,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,2,2,1,3,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,26,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,2,2,1,3,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,27,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,2,2,1,3,1,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,28,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,2,2,2,2,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,29,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",1,2,2,2,2,2,2,1,2,1,54,50,50,65,30,40,50,56,56,the pace of the player
2,30,1998,Male,1,1,2,3,5,3,"Cod, Fifa, Fortnite, AC2",2,4,3,3,5,3,3,3,3,5,54,50,50,65,30,40,50,56,56,the pace of the player
