PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
8,2,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,5,3,4,4,2,2,3,2,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,29,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,2,1,2,2,1,1,1,1,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,11,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,3,1,2,4,3,3,2,2,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,9,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,3,1,2,4,3,3,2,2,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,3,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",1,2,1,3,4,2,2,2,2,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,13,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,4,3,3,1,1,4,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,4,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,4,2,4,2,2,2,2,2,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,25,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,4,1,2,1,3,3,1,2,3,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,0,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",2,5,3,5,5,3,3,2,3,5,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
8,99,1997,Male,5,1,4,5,50,4,"skyrim, call of duty, fallout, gta, civilization, overcooked, little big planet, horizon zero dawn, the last of us",i find the delay sensitivity to be very high since a fraction of a second of delay could mean losing the game (high consequence),"shots can be fired several times per second by each player, and targets are moving so reaction time is very short for each individual player","I'd say moderate because the crosshairs of the weapon are at least a third of the size of the target when within shooting range, so a player with modest experience shouldn't have much trouble with landing a hit","Somewhere between difficult to predict and not predictable. The actions in this game are entirely dependent on other players, so i don't think one can realistically expect to win by predicting events as much as one could expect to win based on reaction time and luck",you can move in four directions on the plain while simultaneously moving the camera and shooting,incorrect interactions would mean getting shot at which result in dying and losing the game,every shot counts towards killing the enemy which make the stakes really high for every shot taken,somewhere between moderate and high. You dont necessarily need many actions per second but if confronted with many enemies you technically could use many actions per second. ,"it's a dynamic game with many inputs coming from different sources (building, moving while shooting, getting shot at by an enemy, etc.)",the cursor is being moved for shootign while moving and i assume also for building walls,50,50,45,30,34,60,58,30,45,specifically the relationship between the different aspects and how the play together to create an original gaming experience
