PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
3,1,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",1,1,2,2,1,2,2,1,1,1,65,50,58,55,57,64,65,48,55,
3,2,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,3,2,3,4,3,3,3,3,3,65,50,58,55,57,64,65,48,55,
3,3,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",1,1,2,3,1,1,2,1,1,1,65,50,58,55,57,64,65,48,55,
3,4,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,5,4,2,4,3,3,3,3,5,65,50,58,55,57,64,65,48,55,
3,5,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,1,2,1,3,1,2,3,2,65,50,58,55,57,64,65,48,55,
3,6,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,5,4,4,5,3,3,3,3,5,65,50,58,55,57,64,65,48,55,
3,7,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,1,2,4,3,2,2,3,3,65,50,58,55,57,64,65,48,55,
3,8,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",1,2,3,2,3,2,2,1,2,2,65,50,58,55,57,64,65,48,55,
3,9,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,4,3,1,2,2,1,1,1,65,50,58,55,57,64,65,48,55,
3,10,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,4,3,1,2,2,1,1,1,65,50,58,55,57,64,65,48,55,
3,11,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,4,3,1,2,2,2,1,1,65,50,58,55,57,64,65,48,55,
3,12,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,5,4,3,1,2,2,1,1,1,65,50,58,55,57,64,65,48,55,
3,13,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,3,2,1,3,1,1,1,1,65,50,58,55,57,64,65,48,55,
3,14,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,4,3,1,3,1,1,1,1,65,50,58,55,57,64,65,48,55,
3,15,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,3,3,2,1,3,1,1,1,1,65,50,58,55,57,64,65,48,55,
3,16,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,4,2,1,3,1,1,1,1,65,50,58,55,57,64,65,48,55,
3,17,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,2,3,2,2,3,1,1,1,1,65,50,58,55,57,64,65,48,55,
3,18,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,3,3,2,2,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,19,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,3,3,2,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,20,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,3,2,2,-1,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,21,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,4,2,4,1,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,22,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,3,4,2,4,2,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,23,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,1,3,1,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,24,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,1,3,1,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,25,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,5,1,3,1,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,26,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,4,1,2,1,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,27,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,5,1,3,1,3,1,1,1,2,65,50,58,55,57,64,65,48,55,
3,28,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,3,2,2,2,2,2,1,1,2,65,50,58,55,57,64,65,48,55,
3,29,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,3,2,2,2,2,2,2,1,2,65,50,58,55,57,64,65,48,55,
3,30,1997,Male,1,1,3,4,20,3,"red dead redemption 2, gta 5, fifa 19, battlefield 1",2,5,4,4,5,3,3,3,3,5,65,50,58,55,57,64,65,48,55,
