PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
1,1,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,1,2,1,4,1,1,1,1,3,56,50,50,42,60,60,50,44,60,frequency of delays
1,2,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,3,3,4,5,2,3,2,3,5,56,50,50,42,60,60,50,44,60,frequency of delays
1,3,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,2,2,4,4,1,2,1,1,5,56,50,50,42,60,60,50,44,60,frequency of delays
1,4,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,4,3,2,4,3,3,3,3,2,56,50,50,42,60,60,50,44,60,frequency of delays
1,5,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,3,3,2,1,3,2,1,1,3,56,50,50,42,60,60,50,44,60,frequency of delays
1,6,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,5,4,4,5,3,3,3,3,5,56,50,50,42,60,60,50,44,60,frequency of delays
1,7,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,3,3,5,4,2,2,1,3,1,56,50,50,42,60,60,50,44,60,frequency of delays
1,8,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,2,2,1,1,2,3,1,2,4,56,50,50,42,60,60,50,44,60,frequency of delays
1,9,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,3,3,2,4,1,2,1,2,4,56,50,50,42,60,60,50,44,60,frequency of delays
1,10,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,3,3,2,4,2,1,2,2,4,56,50,50,42,60,60,50,44,60,frequency of delays
1,11,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,3,3,2,4,2,1,1,2,4,56,50,50,42,60,60,50,44,60,frequency of delays
1,12,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",1,3,3,2,4,1,1,1,2,4,56,50,50,42,60,60,50,44,60,frequency of delays
1,13,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,4,4,3,4,3,3,3,3,3,56,50,50,42,60,60,50,44,60,frequency of delays
1,14,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,4,3,3,4,3,3,3,3,3,56,50,50,42,60,60,50,44,60,frequency of delays
1,15,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,4,3,3,4,3,3,3,3,3,56,50,50,42,60,60,50,44,60,frequency of delays
1,16,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,4,3,3,4,3,3,3,3,3,56,50,50,42,60,60,50,44,60,frequency of delays
1,17,1996,Male,1,1,3,3,50,5,"GTA 4, Fifa 16, Skate 3, CoD Black Ops 2",2,3,2,2,2,3,3,1,2,3,56,50,50,42,60,60,50,44,60,frequency of delays
