PID,Condition,YearofBirth,Gender,VideoGameUsage,VideoGameFreq,GamingExpertise,LikePlaying,NumberGames,DelayAware,GamesRegularyPlayed,DS,TA,SA,PR,DoF,CQ,IoA,RA,FF,ToI,SAI,TAI,PRI,DoFI,FFI,CQI,IoAI,RAI,ToII,Open
7,11,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,3,4,2,4,3,3,1,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,24,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,2,1,2,1,3,3,1,1,3,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,25,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,3,1,2,1,3,3,1,1,3,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,10,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,4,2,4,3,3,1,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,3,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,2,1,1,4,2,2,1,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,16,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,4,4,5,4,3,3,1,1,1,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,30,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,4,5,5,3,3,3,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,4,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,3,1,4,2,2,2,2,2,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,28,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,2,2,2,2,2,2,1,2,1,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,18,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,4,3,3,2,3,3,1,1,1,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,26,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,4,1,2,1,3,3,1,2,3,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,7,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,4,5,4,2,3,3,3,1,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,14,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,4,5,4,3,3,1,2,1,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,2,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,4,5,4,2,3,3,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,6,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,5,4,5,5,2,3,3,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,12,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,2,4,3,4,3,3,1,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,19,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,4,3,4,2,3,3,1,1,2,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,23,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",2,4,1,4,1,3,3,1,1,3,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,15,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,3,3,5,4,3,3,1,2,1,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,5,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,3,3,2,1,3,3,1,2,3,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,9,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,2,2,3,4,3,3,1,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
7,8,1995,Male,5,1,4,5,50,4,"DOTA 2, Resident Evil, GTA V, The Elder Scrolls (all parts), Mass Effect, DayZ",1,2,2,1,5,2,2,2,3,5,60,60,30,20,20,60,60,40,50,Severity of punishment for incorrect action (lost game - lost rank in leadership board.)
